s1 373 374 0.639 ebov=0.636,marv=0.131
s1 374 375 0.421 ebov=0.338,marv=0.124
s1 375 376 2.489 ebov=0.188,marv=0.118
s1 376 377 0.772 ebov=0.512,marv=0.197
s1 377 378 3.041 ebov=1.367,marv=0.131
s1 378 379 0.533 ebov=0.21,marv=0.126
s1 379 380 0.233 ebov=0.145,marv=0.117
s1 380 381 0.893 ebov=0.959,marv=0.121
s1 381 382 0.996 ebov=1.104,marv=0.133
s1 382 383 0.944 ebov=1.182,marv=0.161
s1 383 384 1.289 ebov=0.265,marv=0.149
s1 384 385 0.82  ebov=0.182,marv=0.24
