s1 170 171 0.24    hthree=0.105,hone=0.119,hnine=0.089
s1 171 172 0.111   hthree=0.104,hone=0.121,hnine=0.091
s1 172 173 0.108   hthree=1.784,hone=0.457,hnine=0.092
s1 173 174 0.111   hthree=0.1,hone=0.143,hnine=0.092
s1 174 175 0.107   hthree=0.102,hone=0.113,hnine=0.09
s1 175 176 0.131   hthree=0.129,hone=0.134,hnine=0.107
s1 176 177 0.506   hthree=1.91,hone=0.307,hnine=0.281
s1 177 178 0.21    hthree=0.279,hone=0.227,hnine=0.232
s1 178 179 0.131   hthree=0.118,hone=0.126,hnine=0.1
s1 179 180 0.109   hthree=0.106,hone=0.125,hnine=0.099
s1 180 181 0.106   hthree=0.108,hone=0.12,hnine=0.098
s1 181 182 0.23    hthree=0.1,hone=0.212,hnine=0.094
s1 182 183 0.104   hthree=0.107,hone=0.115,hnine=0.093
s1 183 184 0.106   hthree=0.101,hone=0.112,hnine=0.1
s1 184 185 0.105   hthree=0.105,hone=0.118,hnine=0.094
s1 185 186 0.1     hthree=0.101,hone=0.108,hnine=0.092
s1 186 187 0.107   hthree=0.1,hone=0.111,hnine=0.093
s1 187 188 0.404   hthree=0.102,hone=0.113,hnine=0.091
s1 188 189 0.108   hthree=0.114,hone=0.17,hnine=0.09
s1 189 190 3.714   hthree=0.413,hone=0.117,hnine=0.09
s1 190 191 0.102   hthree=0.106,hone=0.4,hnine=0.089
s1 191 192 0.119   hthree=0.291,hone=0.126,hnine=0.111
s1 192 193 0.32    hthree=0.315,hone=0.273,hnine=0.298
s1 193 194 0.315   hthree=0.277,hone=0.369,hnine=0.279
s1 194 195 0.122   hthree=0.112,hone=0.132,hnine=0.099
s1 195 196 0.115   hthree=0.111,hone=3.786,hnine=0.097
s1 196 197 0.13    hthree=0.107,hone=0.124,hnine=0.095
s1 197 198 0.109   hthree=0.109,hone=0.125,hnine=0.09
s1 198 199 0.114   hthree=0.115,hone=0.117,hnine=0.091
s1 199 200 0.109   hthree=0.125,hone=0.127,hnine=0.105
s1 200 201 0.349   hthree=2.612,hone=0.14,hnine=0.108
s1 201 202 0.121   hthree=0.14,hone=0.152,hnine=0.103
s1 202 203 0.11    hthree=0.117,hone=0.124,hnine=0.102
s1 203 204 0.111   hthree=0.124,hone=0.121,hnine=0.107
s1 204 205 3.966   hthree=0.118,hone=0.12,hnine=0.106
s1 205 206 0.109   hthree=0.126,hone=0.12,hnine=0.109
s1 206 207 0.278   hthree=0.112,hone=0.122,hnine=0.106
s1 207 208 0.131   hthree=0.14,hone=0.147,hnine=0.124
s1 208 209 0.986   hthree=0.245,hone=0.29,hnine=0.316
s1 209 210 0.239   hthree=0.193,hone=0.275,hnine=0.221
s1 210 211 0.126   hthree=0.152,hone=0.171,hnine=0.103
s1 211 212 0.111   hthree=0.107,hone=0.178,hnine=0.094
s1 212 213 0.12    hthree=0.11,hone=0.154,hnine=0.102
s1 213 214 0.112   hthree=0.959,hone=0.12,hnine=0.088
s1 214 215 0.239   hthree=0.101,hone=0.119,hnine=0.089
s1 215 216 0.113   hthree=0.107,hone=0.364,hnine=0.097
s1 216 217 2.061   hthree=0.108,hone=0.124,hnine=0.096
s1 217 218 0.108   hthree=0.101,hone=0.119,hnine=0.088
